term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_1.01,0.0053040467461733,0.00011379668238012276,46.609853953878215,0.0,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.02,0.00032393297280071555,0.0002602530102117387,1.2446848262664385,0.2132476267615203,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.03,0.0274321538799154,0.0027929521861399,9.821920337930372,9.060169481128924e-23,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.04,0.0030773913065229,0.0015647379381905,1.9667135508209688,0.0492162447443233,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.05,-0.0014468887332339,0.0038554998711119,-0.3752791548704218,0.7074528674819547,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.01,-0.0001982639551659269,0.000254154662840296,-0.7800917478760196,0.4353368740295105,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.02,0.0033818362628826,0.00012418837651691507,27.23150392760016,2.753688552747013e-163,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.03,-0.0054345001067201,0.00015091265381092633,-36.010897492591134,5.656998502957203e-284,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.04,0.0011706384346577,0.0010081194961847,1.1612099945373888,0.2455565122324936,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.05,0.0020570924957834,0.0004629654299399129,4.443296114032501,8.859113933031318e-06,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.06,0.0001488433614011091,0.0008190606936885206,0.1817244589418822,0.8557989702374696,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.01,0.0005088396848115348,0.00031018975582872735,1.640414215008741,0.1009190728093229,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.02,0.0040222012112763,0.0002124279434043631,18.93442617207821,5.936563688382185e-80,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.03,0.000573490943822585,0.0003448521828625214,1.663005114429601,0.0963114128304909,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_4.01,-0.0013027805146244,0.0003680316604031143,-3.53985989465547,0.0004003395670194785,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_4.02,-0.0016667694827818,0.0007274702774599318,-2.2911856806048974,0.0219526775197957,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.01,0.0097228353151128,0.0008903695191984879,10.920000185838958,9.249679249545687e-28,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.02,-0.0003852102244969529,7.305101375323073e-05,-5.273167403236984,1.3408924567128718e-07,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.03,-1.847630471694268e-05,0.0001769825785405077,-0.1043961776877029,0.9168549559462296,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.04,0.0005808224440258329,0.0015390827855071,0.3773821976927803,0.7058895950168513,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
