term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_1.01,0.0009688629373046576,2.686327248057688e-05,36.06645236559248,7.632481066424791e-285,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.02,-1.1351172475662431e-05,6.100967583172543e-05,-0.1860552825583077,0.8524014090745701,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.03,0.0047646795153674,0.0009021102241735532,5.28170437235925,1.2798773390949057e-07,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.04,0.0004203576459307744,0.00034262777867402665,1.2268638799736646,0.2198737577942728,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.05,-0.0007972472642999922,0.000901081746296174,-0.8847668566997553,0.3762823895447104,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.01,-0.00011298924880805167,5.979308825235519e-05,-1.8896707313591743,0.0588020123079239,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.02,0.00047004477019414487,2.963149737369311e-05,15.863011047543328,1.142897811776542e-56,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.03,-0.0009171739138641262,3.520363243831715e-05,-26.053388537991736,1.2322118993622377e-149,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.04,0.0004924479563330951,0.0002430706260515391,2.025945974355123,0.0427703225625213,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.05,0.0006746750354389727,0.0001122174926980314,6.0122091415326055,1.8301230854682075e-09,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.06,5.274044552516667e-06,0.0001983030163721815,0.026595886683933,0.9787820540773712,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.01,0.000410958036477403,8.862234796774349e-05,4.63718289913716,3.531900816115834e-06,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.02,0.0011475937691816,5.124993880409112e-05,22.39210028266518,4.7006129983645385e-111,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.03,0.0002324891766284806,8.059975701683602e-05,2.8844897954210613,0.0039204850547416,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_4.01,-0.00012297620124633048,8.4009193840815e-05,-1.4638421775520452,0.1432370767827562,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_4.02,-0.0002840810724229506,0.00017744837349260552,-1.6009223800227652,0.1093941135695764,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.01,0.0010396548089846,0.0002170628767755576,4.789648162912926,1.6707411462066834e-06,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.02,-3.0102268605619058e-05,1.6758738912808264e-05,-1.7962132331217764,0.0724606124002581,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.03,1.52212329929128e-05,4.054403243399912e-05,0.3754247438927335,0.7073446058497861,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.04,-0.00016434808797937466,0.0003369091608088281,-0.4878112770362764,0.625683523459768,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.05,0.0002673093200790436,0.00017895679358688888,1.493708703208615,0.1352517743114213,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.06,0.0016049136921463,0.00032806078677903594,4.89212291387728,9.975418785324515e-07,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.07,-6.133688130080142e-05,2.1003302312616623e-05,-2.9203446385645995,0.0034964452180476,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.08,0.0003122910532839411,0.00023088168947971212,1.3526020793926254,0.1761827892963793,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_7.01,0.00012821217317534526,2.497077895023252e-05,5.134488332577683,2.829129020970175e-07,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_8.01,0.0006628383412293364,2.0680728616928207e-05,32.05101490896071,2.1277642205187827e-225,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_9.01,0.00016356905419581523,1.9199715370953623e-05,8.519347867170543,1.6045528861779616e-17,lag_vol_66per,Total Volume,48 hours,Pre,Retail
