term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_1.01,0.0024383969704251,0.00016660359051238742,14.635920888174768,1.657232816028776e-48,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.02,0.0026183347064494,0.0004017243388361764,6.517739786528719,7.137478496403954e-11,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.03,0.0427747908187719,0.0042674622516212,10.02347256909447,1.2020482960694704e-23,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.04,-0.0105992511606067,0.0047608759492838,-2.2263237424199205,0.0259925050409727,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.05,,,,,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.01,0.0014668743817931,0.00033448479697899025,4.385474003726611,1.157335209131888e-05,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.02,0.001074387706689,7.638783293328587e-05,14.064906221745758,6.240766935439166e-45,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.03,-0.0027738198997947,0.00023036847738959227,-12.040796254878916,2.1685635596901278e-33,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.04,-0.0015510749541322,0.0013136610982436,-1.1807268679921357,0.2377112453799379,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.05,0.0028324396016231,0.0005719564263165576,4.952194732497895,7.338115734864284e-07,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.06,-0.0007176546611038601,0.0011140942479823,-0.644159739989287,0.5194718552954669,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.01,0.0016690229319912,0.0006122701703563838,2.7259582661357022,0.0064115108387039,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.02,0.0045233161551521,0.00035874561173033413,12.608701004968085,1.8908800809080334e-36,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.03,0.0004022463827569104,0.000534220193673829,0.7529598984094263,0.4514740127889404,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_4.01,-0.0003864999503101996,0.0008211677916114416,-0.4706711031027418,0.6378756235175349,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_4.02,0.000465499590127463,0.0011509462267291,0.4044494688951406,0.685882229451832,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.01,0.0023480552902397,0.0015030840912958,1.562158300947423,0.1182507023508476,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.02,0.00021368050259971396,0.00011415565333937748,1.8718346078266963,0.0612294897341072,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.03,0.0023312245925689,0.0003023052255742671,7.711492873272303,1.2435479765608986e-14,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.04,-0.00012531076667290203,0.0012637754372479,-0.0991558808468268,0.9210145042168312,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.05,0.0013650837376542,0.0017073421526281,0.7995373016199023,0.4239789270619626,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.06,0.0081596955585831,0.0065775766676775,1.2405321854597668,0.2147786182381014,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
