term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_1.01,0.0003858601628480644,3.881810798230084e-05,9.940210456006712,2.7824202518220693e-23,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.02,0.00042703730960155176,9.043315113168184e-05,4.722132362497606,2.3338485891917818e-06,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.03,0.0076524271864634,0.0030968751974248,2.471015684722088,0.0134729917349907,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.04,-0.0027496903045504,0.0010272208528063,-2.6768248493382734,0.0074323483140796,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.05,,,,,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.01,-8.115186753134415e-06,7.575533939294541e-05,-0.1071236274322616,0.9146909031429687,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.02,-3.539334051185709e-05,1.837447636169686e-05,-1.9262230833221177,0.0540765260991315,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.03,-0.0003620814652174007,5.1927586596124017e-05,-6.972815201937908,3.1066151686348072e-12,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.04,7.242311118249518e-05,0.000313535989889201,0.2309881912060189,0.8173239762636416,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.05,0.0005318367171901793,0.00013456872539074997,3.9521569045547102,7.744995399852396e-05,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.06,0.00031602312073516294,0.0002586746128420564,1.2217013384615476,0.2218205913492819,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.01,0.0005614363366077639,0.00016365632294397013,3.4305813946460164,0.0006022893666574037,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.02,0.0011331649565616,8.403508224076725e-05,13.48442729329497,1.93167332299821e-41,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.03,0.00019191841336594232,0.00012103656217879944,1.5856234670845473,0.1128247511144248,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_4.01,5.9500496238663045e-05,0.00018630915056893236,0.3193643256757189,0.749450259804796,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_4.02,2.3644717416827547e-05,0.00026423618206467074,0.089483269217993,0.9286978495555231,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.01,-0.0002490885692800143,0.0003315948706967111,-0.7511834207708233,0.4525422774003038,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.02,5.42506374926112e-05,2.5947471323952287e-05,2.090787068045897,0.0365471570827527,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.03,0.0004648649062000157,6.875916337917126e-05,6.760770250163255,1.372604003859099e-11,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.04,1.6233565657641338e-05,0.00027486273119983127,0.0590606285063768,0.9529038178303192,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.05,-0.00015478765467518373,0.0003710215120121801,-0.4171932075736414,0.6765370934953905,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.06,0.004001581829336,0.0014214262492228,2.8151877957255187,0.0048748742269683,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.07,-1.254184792153574e-05,3.938404198861233e-05,-0.3184499936589074,0.7501436212913276,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_5.08,4.087177602325667e-05,0.0002542297989593455,0.1607670548085222,0.872276874269118,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_7.01,8.285869535152592e-05,1.7047059271193647e-05,4.860585866064399,1.1703895039962962e-06,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_8.01,0.00037321477284266505,1.865701398435647e-05,20.003992769453788,5.084504176614993e-89,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_9.01,0.00010364700968990332,1.7879237526299732e-05,5.797059831966671,6.748771636824902e-09,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.01,0.00021892141670440933,1.9879735574562903e-05,11.01229017273902,3.3342486471258493e-28,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_1.02,0.00021686260862054552,4.637256541294216e-05,4.676528173272492,2.917727140265256e-06,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_1.03,0.005585314742616,0.0011207286571018,4.983645869339596,6.239728402439817e-07,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_1.04,-0.001466858806233,0.0005267674616242053,-2.784642015872071,0.0053586853787724,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_1.05,,,,,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_2.01,7.642167334870846e-05,3.884051979870791e-05,1.9675759682096412,0.0491168484134663,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_2.02,9.446017340330044e-05,9.417578775450128e-06,10.03019732094416,1.1229336857927213e-23,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_2.03,-0.00023552308628864007,2.6609921830492357e-05,-8.850949949757231,8.677812988308997e-19,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_2.04,-3.274556427075024e-05,0.00016036596779352188,-0.2041927269313871,0.8382028948952371,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_2.05,0.0002888749641853207,6.900817363367478e-05,4.186097805149777,2.83791219319156e-05,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_2.06,0.00021799621236140952,0.00013265096999195462,1.643381969801134,0.1003039297183897,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_3.01,0.00034868667016077807,8.380689404854856e-05,4.1605965012709705,3.1741758591292653e-05,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_3.02,0.0005007772769889788,4.296948732351931e-05,11.654253010248947,2.182911575990284e-31,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_3.03,6.58134798375912e-05,6.158545509266571e-05,1.068652975585935,0.2852260693897435,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_4.01,-2.3359931929975584e-05,9.46895656247878e-05,-0.246700169927281,0.8051402752896026,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_4.02,2.3182125767187195e-05,0.00013550296295154328,0.1710820580025048,0.864159243683281,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.01,0.00011487679967876624,0.00017003888935804298,0.6755913315622493,0.4993001474231788,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.02,2.565707851457631e-05,1.3296453925229167e-05,1.9296181266716268,0.0536541725147164,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.03,0.0002152908422079432,3.424960823423548e-05,6.285935907224222,3.2588502663525425e-10,lag_vol_33per,Total Volume,24 hours,Pre,Retail
Item_5.04,-5.1116245072766215e-05,0.00014095209233720664,-0.3626497785536826,0.7168665204699679,lag_vol_33per,Total Volume,24 hours,Pre,Retail
