term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_1.01,0.0048582980971803,9.03741737055112e-05,53.75759354670641,0.0,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.02,0.0009982823610131086,0.0002149834565259485,4.6435310751114285,3.425045977633168e-06,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.03,0.0312918723742098,0.0022965665073019,13.625502363949716,2.8246828720654892e-42,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.04,0.0017436265295818,0.0014604406420723,1.193904414429098,0.232515361500374,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_1.05,-0.0011984211365557,0.0037841654334135,-0.3166936429295365,0.7514760731363064,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.01,0.0005840882956344644,0.0001990574246560848,2.9342703325113573,0.0033433290426057,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.02,0.001362308630392,5.98865494922804e-05,22.748157005901064,1.4969176104820682e-114,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.03,-0.004616150542889,0.0001241818002627552,-37.17252071657703,1.900468482173674e-302,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.04,0.0004717330736079549,0.0007848927348864058,0.6010159766305224,0.5478293455961786,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.05,0.0027480455363563,0.0003543668520052122,7.754804155090523,8.848019903168426e-15,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_2.06,0.0001044149694697662,0.0006497581123789097,0.1606982159676001,0.8723310947353605,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.01,0.0009532438342644576,0.0002718162724497548,3.506941750298135,0.000453288430600518,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.02,0.0042770981325831,0.00017962213487109768,23.8116429005395,2.530764755657849e-125,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_3.03,0.0004718530794305625,0.000284962387307408,1.6558433689760714,0.0977535435675495,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_4.01,-0.000766992086704798,0.0003285009772290985,-2.3348243684824515,0.0195525983090073,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_4.02,-0.0005819839930242713,0.0006050285277225078,-0.961911655992516,0.3360939837804859,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.01,0.007738119358994,0.0007531110147345477,10.274872107296828,9.146655643788521e-25,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.02,5.6315355181964405e-05,5.8700571935688415e-05,0.9593663796608792,0.3373742066580733,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.03,0.0009005255279799361,0.0001484574455328396,6.065883221604638,1.31230619588378e-09,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.04,0.00028573541830937164,0.0009643747929189472,0.2962908408716432,0.7670079802421683,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.05,0.0025068353131996,0.0007085903221204653,3.5377780855063268,0.00040350909590151695,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.06,-0.0007606506086737512,0.0012833341886327,-0.5927143649808958,0.5533723266477738,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.07,3.666548580758838e-05,8.113943741652758e-05,0.4518824257970497,0.6513536859319929,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_5.08,-0.0007195597385879564,0.0007257621036836051,-0.9914539970271682,0.321463945659906,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
Item_7.01,0.0007200701585456624,5.6362496068917e-05,12.77569676235062,2.241366984488374e-37,lag_vol_66per,Total Volume,48 hours,Pre,Not Retail
