term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_1.01,0.0008456366915210478,2.123702674023501e-05,39.818977574621165,0.0,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.02,0.000121764347146075,4.9629564437625405e-05,2.453463948874845,0.0141487729087968,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.03,0.0049363693287591,0.0008474500630577303,5.824967799221105,5.7123695697582525e-09,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.04,0.00010396439129157248,0.00031813078188443764,0.3267976480482105,0.7438209387654251,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_1.05,-0.0007547227069299016,0.00088082125659968,-0.8568397972631032,0.3915334290083254,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.01,-4.588655311811298e-05,4.604254857855436e-05,-0.9966119281999511,0.3189529149728935,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.02,4.371743760774232e-05,1.4380221964386534e-05,3.040108679546889,0.0023649282291244,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.03,-0.0007421889180127253,2.8573138548945776e-05,-25.97505754369111,9.483097583946722e-149,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.04,0.0003663129525413131,0.00018844873577702676,1.943833430513092,0.0519155422929562,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.05,0.000671832980774964,8.464944198055976e-05,7.936649847369985,2.077163927334855e-15,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_2.06,0.00016158823884416463,0.00015454645991694457,1.045564155471464,0.2957623069913168,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.01,0.0004695571901860109,7.6331615810343e-05,6.151542649807047,7.673302265941958e-10,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.02,0.0011530482251383,4.286282593059985e-05,26.90089139258565,2.1454490283411658e-159,lag_vol_66per,Total Volume,48 hours,Pre,Retail
Item_3.03,0.00021050974690004588,6.576794442309577e-05,3.200795596496111,0.0013704873607238,lag_vol_66per,Total Volume,48 hours,Pre,Retail
